Year,Community_Name,City,LACity,SPA,SD,DemogSurvCt,YouthSurvCt,SheltHmisCt,totStreetSingAdult,totStreetFamHH,totStreetFamMem,totCars,totVans,totCampers,totTents,totMakeshift,totCarPeople,totVanPeople,totCamperPeople,totTentPeople,totMakeshiftPeople,FamCarHH,FamVanHH,FamCamperHH,FamTentHH,FamMakeshiftHH,FamCarPeople,FamVanPeople,FamCamperPeople,FamTentPeople,FamMakeshiftPeople,IndCarPeople,IndVanPeople,IndCamperPeople,IndTentPeople,IndMakeshiftPeople,totESAdultSingAdult,totESAdultFamHH,totESAdultFamMem,totESYouthSingYouth,totESYouthFamHH,totESYouthFamMem,totESYouthUnaccYouth,totTHAdultSingAdult,totTHAdultFamHH,totTHAdultFamMem,totTHYouthSingYouth,totTHYouthFamHH,totTHYouthFamMem,totTHYouthUnaccYouth,totSHAdultSingAdult,totSHAdultFamHH,totSHAdultFamMem,totSHYouthSingYouth,totSHYouthFamHH,totSHYouthFamMem,totSHYouthUnaccYouth,totUnsheltPeople,totESPeople,totTHPeople,totSHPeople,totSheltPeople,totPeople
2018,Bell Gardens,Bell Gardens,0,7,1,11,6,0,45,0,0,4,4,16,3,8,6,7,29,5,13,0,0,1,0,0,1,0,2,0,0,6,6,27,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,105
2018,Bellflower,Bellflower,0,7,4,72,1,0,36,0,0,9,2,11,7,14,15,3,20,11,23,1,0,0,0,0,2,0,2,0,1,13,3,19,10,23,0,0,0,0,0,0,0,26,0,0,1,0,0,0,0,0,0,0,0,0,0,108,0,27,0,27,135
2018,Beverly Hills,Beverly Hills,0,5,3,0,0,0,15,0,0,0,1,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18
2018,Boyle Heights,Los Angeles,1,4,1,52,7,221,136,0,0,27,39,70,11,38,44,63,128,17,64,2,1,3,0,1,5,3,10,1,1,39,61,118,16,62,62,9,33,11,0,0,0,2,0,0,24,0,0,0,0,0,0,0,0,0,0,452,106,26,0,132,584
2018,Bradbury,Bradbury,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Brentwood,Los Angeles,1,5,3,0,0,0,21,0,0,3,2,0,0,3,5,3,0,0,5,0,0,0,0,0,1,0,0,0,0,4,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,34
2018,Burbank,Burbank,0,2,5,33,0,0,36,0,0,21,35,20,2,5,34,57,37,3,8,1,1,1,0,0,4,2,3,0,0,30,55,34,3,8,0,0,0,0,0,0,0,0,6,20,5,0,0,0,0,0,0,0,0,0,0,175,0,25,0,25,200
2018,Calabasas,Calabasas,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Calabasas and Hidden Hills,Calabasas and Hidden Hills,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
2018,Canoga Park,Los Angeles,1,2,5,24,4,0,29,0,0,11,6,42,6,8,18,10,77,9,13,1,0,2,0,0,2,0,6,0,0,16,9,71,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,156
2018,Canyon Country,Canyon Country,0,2,5,0,0,0,0,0,0,1,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
2018,Carson,Carson,0,8,2,50,6,0,32,0,0,53,38,127,9,21,86,62,233,14,35,3,1,5,0,0,10,3,18,1,1,76,59,214,13,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461,0,0,0,0,461
2018,Central Alameda,Los Angeles,1,6,2,6,0,0,41,0,0,20,17,21,6,24,32,28,38,9,40,1,0,1,0,0,4,1,3,0,1,29,27,35,9,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,189
2018,Cerritos,Cerritos,0,7,4,0,1,0,13,0,0,4,3,1,7,13,6,5,2,11,22,0,0,0,0,0,1,0,0,0,0,6,5,2,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,59
2018,Charter Oak,Charter Oak,0,3,5,0,0,16,1,0,0,3,1,4,0,2,5,2,7,0,3,0,0,0,0,0,1,0,1,0,0,4,2,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18
